course_name,section_difficulty_level,section_name,subsection_difficulty_level,subsection_name,exercise_number,status,"systemID","tags","ID","questionType","preQuestionContent","questionContent","answerContent","optionsContent","shuffleOptions","shuffleAnswers","numEval","correctFeedback","incorectFeedback","specialFeedback"
Arithmetic,1,Natural Number,1,Addition,1,true,"186407184859030","{""+"", ""<=10"", ""tables""}","match_pls_0001","MATCH","","{""2 + 4 ="", ""0 + 13 ="", ""15 + 2 ="", ""7 + 6 =""}","{6, 13, 17, 13}","{6, 13, 17, 13}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"331740919770272","{""+"", ""tables""}","match_pls_0002","MATCH","","{""12 + 12 ="", ""1 + 13 ="", ""17 + 19 ="", ""15 + 5 =""}","{24, 14, 36, 20}","{24, 14, 36, 20}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"303186977270826","{""+"", ""<=10"", ""tables""}","match_pls_0003","MATCH","","{""7 + 1 ="", ""1 + 9 ="", ""12 + 17 ="", ""2 + 11 =""}","{8, 10, 29, 13}","{8, 10, 29, 13}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"195136086629016","{""+"", ""<=10"", ""tables""}","match_pls_0004","MATCH","","{""2 + 13 ="", ""8 + 0 ="", ""19 + 18 ="", ""13 + 7 =""}","{15, 8, 37, 20}","{15, 8, 37, 20}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"861302208684479","{""+"", ""<=10"", ""tables""}","match_pls_0005","MATCH","","{""19 + 14 ="", ""14 + 18 ="", ""3 + 18 ="", ""6 + 5 =""}","{33, 32, 21, 11}","{33, 32, 21, 11}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"442661146028106","{""+"", ""<=10"", ""tables""}","match_pls_0006","MATCH","","{""7 + 9 ="", ""0 + 3 ="", ""1 + 17 ="", ""14 + 9 =""}","{16, 3, 18, 23}","{16, 3, 18, 23}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"881167141404619","{""+"", ""<=10"", ""tables""}","match_pls_0007","MATCH","","{""9 + 14 ="", ""6 + 9 ="", ""12 + 2 ="", ""0 + 12 =""}","{23, 15, 14, 12}","{23, 15, 14, 12}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"774323393939777","{""+"", ""<=10"", ""tables""}","match_pls_0008","MATCH","","{""11 + 0 ="", ""4 + 12 ="", ""2 + 5 ="", ""2 + 9 =""}","{11, 16, 7, 11}","{11, 16, 7, 11}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"756625038577035","{""+"", ""<=10"", ""tables""}","match_pls_0009","MATCH","","{""4 + 19 ="", ""17 + 14 ="", ""10 + 1 ="", ""2 + 18 =""}","{23, 31, 11, 20}","{23, 31, 11, 20}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"368719452809032","{""+"", ""<=10"", ""tables""}","match_pls_0010","MATCH","","{""11 + 0 ="", ""10 + 2 ="", ""13 + 12 ="", ""9 + 7 =""}","{11, 12, 25, 16}","{11, 12, 25, 16}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"139745922352874","{""+"", ""<=10"", ""tables""}","match_pls_0011","MATCH","","{""20 + 16 ="", ""15 + 16 ="", ""19 + 5 ="", ""4 + 7 =""}","{36, 31, 24, 11}","{36, 31, 24, 11}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"592891823414792","{""+"", ""<=10"", ""tables""}","match_pls_0012","MATCH","","{""2 + 2 ="", ""15 + 6 ="", ""6 + 15 ="", ""0 + 15 =""}","{4, 21, 21, 15}","{4, 21, 21, 15}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"427512113036936","{""+"", ""<=10"", ""tables""}","match_pls_0013","MATCH","","{""1 + 2 ="", ""0 + 0 ="", ""11 + 20 ="", ""3 + 6 =""}","{3, 0, 31, 9}","{3, 0, 31, 9}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"273446849448436","{""+"", ""<=10"", ""tables""}","match_pls_0014","MATCH","","{""20 + 19 ="", ""15 + 9 ="", ""2 + 5 ="", ""9 + 15 =""}","{39, 24, 7, 24}","{39, 24, 7, 24}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"996256617554181","{""+"", ""<=10"", ""tables""}","match_pls_0015","MATCH","","{""15 + 18 ="", ""0 + 15 ="", ""6 + 3 ="", ""2 + 1 =""}","{33, 15, 9, 3}","{33, 15, 9, 3}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"340478572750895","{""+"", ""tables""}","match_pls_0016","MATCH","","{""18 + 17 ="", ""15 + 6 ="", ""3 + 11 ="", ""8 + 11 =""}","{35, 21, 14, 19}","{35, 21, 14, 19}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"650214993101920","{""+"", ""tables""}","match_pls_0017","MATCH","","{""15 + 10 ="", ""11 + 3 ="", ""16 + 5 ="", ""16 + 13 =""}","{25, 14, 21, 29}","{25, 14, 21, 29}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"728889494023813","{""+"", ""tables""}","match_pls_0018","MATCH","","{""15 + 13 ="", ""20 + 18 ="", ""8 + 14 ="", ""14 + 12 =""}","{28, 38, 22, 26}","{28, 38, 22, 26}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"327988343993004","{""+"", ""<=10"", ""tables""}","match_pls_0019","MATCH","","{""20 + 1 ="", ""13 + 14 ="", ""15 + 13 ="", ""9 + 6 =""}","{21, 27, 28, 15}","{21, 27, 28, 15}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"831659278418108","{""+"", ""<=10"", ""tables""}","match_pls_0020","MATCH","","{""17 + 1 ="", ""0 + 2 ="", ""7 + 13 ="", ""5 + 16 =""}","{18, 2, 20, 21}","{18, 2, 20, 21}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"959478708370456","{""+"", ""<=10"", ""tables""}","match_pls_0021","MATCH","","{""9 + 19 ="", ""9 + 1 ="", ""1 + 20 ="", ""6 + 19 =""}","{28, 10, 21, 25}","{28, 10, 21, 25}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"556757643776157","{""+"", ""<=10"", ""tables""}","match_pls_0022","MATCH","","{""5 + 12 ="", ""4 + 4 ="", ""11 + 2 ="", ""15 + 12 =""}","{17, 8, 13, 27}","{17, 8, 13, 27}","True","True","True","Correct!","Incorrect..",""
Arithmetic,1,Natural Number,1,Addition,1,true,"592471361439269","{""+"", ""<=10"", ""tables""}","match_pls_0023","MATCH","","{""17 + 20 ="", ""2 + 19 ="", ""4 + 6 ="", ""14 + 11 =""}","{37, 21, 10, 25}","{37, 21, 10, 25}","True","True","True","Correct!","Incorrect..",""
