Cursus,Section,Subsection,Exercise,Question,Question Type,Tags,Choices,Shuffle Options,Shuffle Answers,Num Eval,Correct Answer,Correct,Incorrect,Feedback,Description,Status,skills
Concepten,Gevorderde Vaardigheden,Afronden,2,(honderdduizendtallen) 988151.4 ≈ <ans>,FITBT,"{""FR"", ""KK"", ""rounding""}",,,,TRUE,1000000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Rond het getal af.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""als kommagetal""]}, {""skill"": ""KK - basis"", ""subskills"": [""als breuk""]}]"
Concepten,Gevorderde Vaardigheden,Afronden,2,(honderdduizendtallen) 446626.3 ≈ <ans>,FITBT,"{""FR"", ""KK"", ""rounding""}",,,,TRUE,400000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Rond het getal af.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""als kommagetal""]}, {""skill"": ""KK - basis"", ""subskills"": [""als breuk""]}]"
Concepten,Gevorderde Vaardigheden,Afronden,2,(honderdduizendtallen) 372100.6 ≈ <ans>,FITBT,"{""FR"", ""KK"", ""rounding""}",,,,TRUE,400000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Rond het getal af.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""als kommagetal""]}, {""skill"": ""KK - basis"", ""subskills"": [""als breuk""]}]"
Concepten,Gevorderde Vaardigheden,Afronden,2,(honderdduizendtallen) 712913.3 ≈ <ans>,FITBT,"{""FR"", ""KK"", ""rounding""}",,,,TRUE,700000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Rond het getal af.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""als kommagetal""]}, {""skill"": ""KK - basis"", ""subskills"": [""als breuk""]}]"
Concepten,Gevorderde Vaardigheden,Afronden,2,(tienduizendtallen) 64761.3 ≈ <ans>,FITBT,"{""FR"", ""KK"", ""rounding""}",,,,TRUE,60000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Rond het getal af.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""als kommagetal""]}, {""skill"": ""KK - basis"", ""subskills"": [""als breuk""]}]"
Concepten,Gevorderde Vaardigheden,Afronden,2,(tienduizendtallen) 53020.6 ≈ <ans>,FITBT,"{""FR"", ""KK"", ""rounding""}",,,,TRUE,50000,Goed zo!,Dat is niet goed. Controleer je stappen.,,Rond het getal af.,TRUE,"[{""skill"": ""QQ - basis"", ""subskills"": [""als kommagetal""]}, {""skill"": ""KK - basis"", ""subskills"": [""als breuk""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,2,0.44 kL = <ans>mL,FITBT,"{""FR"", ""metric"", ""volume_s"", ""KK""}",,,,TRUE,"440000,00",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""Metrieke stelsel"", ""subskills"": [""kleine inhoud""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,2,0.534 dL = <ans>mL,FITBT,"{""FR"", ""metric"", ""volume_s"", ""KK""}",,,,TRUE,"53,00",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""Metrieke stelsel"", ""subskills"": [""kleine inhoud""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,4,600 daL = <ans>L,FITBT,"{""FR"", ""metric"", ""volume_s"", ""KK""}",,,,TRUE,"6000,00",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""Metrieke stelsel"", ""subskills"": [""kleine inhoud""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,5,0.729 L + 9.2 daL = <ans>L,FITBT,"{""FR"", ""metric"", ""volume_s"", ""KK""}",,,,TRUE,"93,00",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""Metrieke stelsel"", ""subskills"": [""kleine inhoud""]}, {""skill"": ""KK - optellen"", ""subskills"": [""recept""]}]"
Concepten,Basisvaardigheden,Metrieke Stelsel,5,627 cL + 0.391 daL = <ans>cL,FITBT,"{""FR"", ""metric"", ""volume_s"", ""KK""}",,,,TRUE,"1,02",Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som uit in je schrift en vul hieronder je antwoord in.,TRUE,"[{""skill"": ""Metrieke stelsel"", ""subskills"": [""kleine inhoud""]}, {""skill"": ""KK - optellen"", ""subskills"": [""recept""]}]"
Concepten,Basisvaardigheden,Tijd,3,14:44:26 – 6:47:54  = <ans>:<ans>:<ans>,FITBT,"{""FR"", ""time"", ""digital"", ""mns""}",,,,TRUE,7:56:32,Goed zo!,Dat is niet goed. Controleer je stappen.,,Reken de som volgens het recept uit in je schrift en vul hieronder het antwoord in.,TRUE,"[{""skill"": ""Tijd"", ""subskills"": [""digitale tijd""]}]"
